what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291098995376
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291098997536
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1291098997586
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.window.nextEditor",1291098997586
executed,command,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.edit.text.java.open.editor",1291099001561
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.scroll.lineDown",1291099006137
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.scroll.lineDown",1291099006312
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1291099006663
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.scroll.lineDown",1291099006871
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1291099007276
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1291099007793
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291099009619
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291099011424
executed,command,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui.commands.DebugLast",1291099011443
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291099011547
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291099012336
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1291099012961
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291099013101
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1291099016106
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1291099040979
